average value,vertical variance,horizonal variance,ratio as 2,target
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
326.1851852,630041.686,752391.5275,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
325.8888889,632758.6281,755001.3475,0.778,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
342.56,625160.2479,739970.16,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
340.92,634747.7851,738880.7275,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
341.04,642373.1736,750744.61,0.8,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
322.037037,639632.9752,756889.8875,0.778,0
